date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2022-01-01,84122,1722,28072,71002,76294,84319,25112,,5789,1668,7744,,
2022-01-02,77263,1186,24772,61952,61436,69092,17318,,6583,1516,7946,,
2022-01-03,114263,1296,27094,98823,95714,127098,18272,,4936,1344,6942,,
2022-01-04,113677,1607,26469,101465,98546,132713,19085,,3981,1407,5767,,
2022-01-05,116090,1797,26478,103732,97942,133924,19952,,3772,1437,5427,,
2022-01-06,116291,2041,25632,101724,99296,132767,19174,,3987,1988,6094,,
2022-01-07,116071,2114,26682,105127,102232,134437,20734,,4988,2181,6852,,
2022-01-08,88331,1897,23747,73222,75906,81698,18684,,4783,2210,6212,,
2022-01-09,85326,2211,24987,63425,63752,68595,17786,,5404,1275,6309,,
2022-01-10,130355,2474,29802,107164,102406,136382,19486,,3764,954,5251,,
2022-01-11,130246,2464,29382,106859,103597,137666,19005,,2995,1012,4745,,
2022-01-12,129869,2298,28747,106828,103636,138009,19245,,3146,865,4600,,
2022-01-13,127868,2306,28125,105268,102554,136254,18356,,3727,1120,4990,,
2022-01-14,124258,2088,28289,107544,104953,138134,20154,,4799,1923,5715,,
2022-01-15,88800,1795,23236,71825,72486,79576,16644,,5917,1827,5709,,
2022-01-16,82243,1928,24146,61116,61057,66479,15740,,6331,1255,6241,,
2022-01-17,126147,2259,27824,104506,99212,129828,18873,,4077,1050,5426,,
2022-01-18,79529,2251,21468,62011,62590,67733,13922,,5086,1290,4944,,
2022-01-19,129872,2229,29241,109919,105715,140682,19063,,3591,787,4907,,
2022-01-20,128251,2310,29098,108478,104420,137868,19792,,4006,1253,5020,,
2022-01-21,127255,2195,29071,112210,106791,138395,20550,,5844,2344,5788,,
2022-01-22,82953,1773,22738,53564,54690,61840,9974,,5196,2303,5257,,
2022-01-23,77638,1721,22762,60214,57822,62420,15023,,6517,1266,5952,,
2022-01-24,127207,2318,29291,108703,102610,135619,19588,,4137,861,5137,,
2022-01-25,129593,2234,29423,110167,104543,140534,19655,,3782,964,4717,,
2022-01-26,131006,2304,29362,111403,106749,141511,19845,,4145,1099,4652,,
2022-01-27,127527,2132,29403,109902,103822,138386,19757,,5752,1678,5281,,
2022-01-28,125193,2350,29592,113558,106341,139472,20994,,9980,3049,6871,,
2022-01-29,85910,1803,24182,72669,68356,75894,16594,,10369,3626,6872,,
2022-01-30,79326,1820,26044,62180,58966,65290,17920,,9715,3403,7248,,
2022-01-31,98153,2017,28441,82007,72692,97788,20381,,9375,3660,7906,,
2022-02-01,81030,2248,28944,65002,62592,78843,24393,,8567,4538,7581,,
2022-02-02,77435,1708,26012,55368,46568,63266,19409,,10361,4300,8086,,
